Gene.refGene,score
CREBBP,0.710617755
LAMP2,0.707675628
MYH9,0.695891087
GPC3,0.690974716
FERMT1,0.689861453
LRP5,0.687677995
PDE6A,0.687417623
KCNA1,0.685912964
SLC22A5,0.685494536
PNKD,0.683846175
MMP2,0.683021995
MITF,0.681923087
SGCD,0.681648361
PNP,0.681648361
POLH,0.681648361
AKT2,0.681648361
CIITA,0.681373634
CAV3,0.681098907
SCN1B,0.680549454
CYP1B1,0.680274727
RPGR,0.680274727
NEUROD1,0.68
CYP27A1,0.68
PDX1,0.68
SSX1,0.68
UROD,0.68
TAZ,0.647759394
TGFB1,0.630957994
CETP,0.618377984
ADGRG1,0.614177214
RASA1,0.610620121
CACNA1F,0.608791257
SMS,0.60686817
CUBN,0.60686817
ABCC9,0.606737145
GRK1,0.606593443
AXIN1,0.606318716
FUCA1,0.606015278
HSD3B2,0.605363511
ANO5,0.604945082
DDX11,0.604670355
XDH,0.604395629
SLC34A2,0.604055389
SMARCA2,0.603296721
SHH,0.603296721
ND4L,0.603282366
CYTB,0.603231209
RFXANK,0.603021995
CHST14,0.602747268
SPINT2,0.602747268
OCLN,0.602681755
TMEM67,0.602472541
SLC30A10,0.601923087
SDHA,0.601923087
UBA1,0.601923087
SECISBP2,0.601923087
KHK,0.601648361
DSPP,0.601373634
UROC1,0.601373634
SLC36A2,0.601373634
SLC1A3,0.601098907
NHEJ1,0.601098907
KITLG,0.601098907
KL,0.601098907
OPN1LW,0.601007332
MYH2,0.601007332
MYH7,0.601007332
HADH,0.60082418
ACADSB,0.60082418
POMGNT1,0.60082418
SLC25A3,0.60082418
RANBP2,0.60082418
KCTD7,0.60082418
COL17A1,0.600549454
MASP2,0.600549454
MMAA,0.600549454
CYP24A1,0.600549454
AARS,0.600549454
TSFM,0.600549454
ORAI1,0.600549454
PLOD3,0.600549454
LHX4,0.600549454
AIFM1,0.600549454
YARS,0.600549454
SLC4A4,0.600549454
SLC25A12,0.600549454
SLC25A22,0.600549454
BPGM,0.600549454
SEC23A,0.600274727
HLA-B,0.600274727
TNF,0.600274727
PPOX,0.600274727
ACVR1,0.600274727
RXFP2,0.600274727
LIPA,0.600274727
MKS1,0.600274727
PAFAH1B1,0.600274727
FLT4,0.600274727
GRHPR,0.600274727
DRD2,0.6
HSPG2,0.6
GRN,0.6
HPSE2,0.6
COCH,0.6
NPHP3,0.6
GPSM2,0.6
TGFBR1,0.6
PRPF3,0.6
PRKAR1A,0.6
CDH23,0.6
SLC35D1,0.6
IFT140,0.6
FERMT3,0.6
DOK7,0.6
ANK1,0.6
GSK3B,0.6
MAOA,0.6
PINK1,0.6
CDKL5,0.6
CNTNAP2,0.6
MTO1,0.6
GNMT,0.6
GJA3,0.6
GFI1,0.6
ZNF335,0.6
MBD5,0.6
AHI1,0.6
TRIP11,0.6
FOXN1,0.6
JUP,0.6
PAX7,0.58
FN1,0.58
ABCA1,0.561161214
VAPA,0.561161214
GGT1,0.541236271
SDHC,0.541236271
COL11A1,0.540961544
MANEA,0.540961544
NEFL,0.54082418
TUBB2B,0.54082418
ATP8A2,0.54082418
RAP1GAP,0.54082418
ABCA12,0.54082418
PLA2G4A,0.54082418
CLDN16,0.540137363
NCOR1,0.540137363
PEPD,0.534981694
CXCR4,0.534981694
SFN,0.534981694
ROBO3,0.531056721
CLN6,0.531056721
VPS39,0.531056721
HLA-DRB1,0.513708169
ATP2A2,0.507070251
MYH3,0.507070251
TBP,0.507070251
ALDH3A1,0.507070251
ACAT1,0.504597665
DUX4L1,0.504597665
HTR2A,0.50255295
COL4A1,0.500961544
TRIM5,0.500961544
BAG3,0.500274727
SST,0.500274727
FOXG1,0.500274727
PICK1,0.500274727
PPP1R3A,0.500137363
RAI1,0.500137363
